trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,0,-135.7065942779879,"{0: 12, 1: 4, 2: 5, 3: 4, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",30,2,-120.1505825698641,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,0,-20.044244548968475,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-102.60855186290357,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,0,-118.93675145063821,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-51.21129198573508,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-122.7612717331517,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-42.93535310024298,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",30,0,-200.50012017291985,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-98.1642006563437,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,16,9.845000059247656,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-44.60226575792908,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",30,0,-85.66040159527327,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-110.2554075190657,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
